gauge_id,q_mean,runoff_ratio,slope_fdc,baseflow_index,stream_elas,q5,q95,high_q_freq,high_q_dur,low_q_freq,low_q_dur,zero_q_freq,hfd_mean,STANAME,CLASS,AGGECOREGI,DRAIN_SQKM,HUC02,LAT_GAGE,LNG_GAGE,STATE,HCDN_2009,ACTIVE09,FLYRS1900,FLYRS1950,FLYRS1990,OBJECTID,Join_Count,TARGET_FID,AREA,PERIMETER,PHYSIODD_,PHYSIODD_I,FCODE,FENCODE,DIVISION,PROVINCE,SECTION,PROVCODE,geometry
01567500,1.2966135937239,0.403572520340108,1.46006944907113,0.553409319445927,1.64536187419807,0.220867021135435,3.97560638043782,8.55,1.8,41.25,7.56880733944954,0,162.85,"Bixler Run near Loysville, PA",Ref,EastHghlnds,38.7729,02,40.370916,-77.402209,PA,yes,yes,55,55,20,258,1,258,7.235,22.16,161,191,62,6b,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,6,"c(1555687.2091, 2081243.4054)"
01568000,1.42334696665279,0.427469830225647,1.68624894497609,0.517278236493741,1.78634257291124,0.123612978779202,4.6240410580368,10.05,1.7787610619469,85.4,12.2877697841727,0,161.75,"Sherman Creek at Shermans Dale, PA",Ref,EastHghlnds,534.3948,02,40.323419,-77.16887,PA,yes,yes,80,60,20,259,1,259,7.235,22.16,161,191,62,6b,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,6,"c(1575998.7059, 2079870.0507)"
01594950,1.80376842052541,0.460015525667394,2.23643727822973,0.468280719879937,1.69636920814356,0.0199883623002353,6.3962759360753,8.55,1.72727272727273,116.85,15.2745098039216,0.00917180013689254,163.55,"MCMILLAN F NEAR FORT PENDLETON, MD",Ref,EastHghlnds,6.1182,02,39.27669,-79.39031,MD,yes,yes,23,23,20,271,1,271,2.999,11.795,162,204,84,8d,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,ALLEGHENY MOUNTAIN,8,"c(1412505.4171, 1929673.8133)"
01596500,1.53661247899157,0.463635893331234,1.81922288196779,0.441481526371212,1.85521439330626,0.0471061476880635,6.21408598251702,17.75,2.46527777777778,118.7,14.9308176100629,0,162.4,"SAVAGE RIVER NEAR BARTON, MD",Ref,EastHghlnds,124.6505,02,39.570056,-79.101944,MD,yes,yes,61,60,20,277,1,277,2.999,11.795,162,204,84,8d,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,ALLEGHENY MOUNTAIN,8,"c(1430956.2406, 1966356.2126)"
01605500,1.00959725724073,0.314546729407771,1.50398177264464,0.544434859625252,1.90503009613894,0.158234917250111,3.1857963339689,8.85,2.39189189189189,56.25,10.1351351351351,0,173.6,"SOUTH BRANCH POTOMAC RIVER AT FRANKLIN, WV",Ref,EastHghlnds,463.8492,02,38.635672,-79.33782,WV,yes,yes,62,53,20,289,1,289,7.235,22.16,161,191,62,6b,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,6,"c(1429455.9345, 1859709.8801)"
01606500,1.21023702242715,0.35981723587233,1.70438134279501,0.518890696452234,2.07378631355448,0.113284196107451,4.19732470192991,11,2.41758241758242,90.35,15.3135593220339,0,171.85,"SO. BRANCH POTOMAC RIVER NR PETERSBURG, WV",Ref,EastHghlnds,1684.547,02,38.991221,-79.175871,WV,yes,yes,81,60,20,291,1,291,7.235,22.16,161,191,62,6b,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,6,"c(1436186.5966, 1901386.3138)"
01613050,1.23865198318043,0.401052266275073,1.69479930132314,0.418222660913511,2.08106262575762,0.00964599677456516,4.99838014682013,25.45,3.22151898734177,139.15,17.39375,0.010403832991102,163.8,"Tonoloway Creek near Needmore, PA",Ref,EastHghlnds,27.8982,02,39.898421,-78.132229,PA,yes,yes,42,42,20,300,1,300,7.235,22.16,161,191,62,6b,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,6,"c(1505252.5868, 2017519.9228)"
01620500,1.63257950289079,0.480365976915241,1.49207861509594,0.414732516292679,1.98393488163238,0.0399195384052442,5.4684299185266,14.85,2.72477064220183,116.9,32.4722222222222,0,172.05,"NORTH RIVER NEAR STOKESVILLE, VA",Ref,EastHghlnds,44.74026,02,38.337626,-79.240036,VA,yes,yes,63,60,20,317,1,317,7.235,22.16,161,191,62,6b,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,6,"c(1443619.0916, 1828296.0818)"
01632000,0.946655484962209,0.322975927031301,1.5278155857037,0.391340570141825,1.67304116673991,0.0171101793895124,3.48057070212975,23.95,3.05095541401274,140.2,23.563025210084,0,173.7,"N F SHENANDOAH RIVER AT COOTES STORE, VA",Ref,EastHghlnds,543.357,02,38.637063,-78.852803,VA,yes,yes,84,60,20,329,1,329,7.235,22.16,161,191,62,6b,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,6,"c(1470591.752, 1867263.6716)"
01632900,0.799203450500426,0.27481863878643,1.47637689693793,0.592229401683872,2.65813269814611,0.119807821042994,2.41612439103371,8.1,1.88372093023256,46.1,11.525,0,172.5,"SMITH CREEK NEAR NEW MARKET, VA",Ref,EastHghlnds,245.0484,02,38.69345,-78.642794,VA,yes,yes,49,49,20,331,1,331,7.235,22.16,161,191,62,6b,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,6,"c(1487255.3143, 1876748.2988)"
