site_no,Year,Flashiness,DIVISION,PROVINCE,SECTION,station_nm,DRAIN_SQKM,huc_cd,LAT_GAGE,LNG_GAGE,STATE,alt_va,geometry
01440000,1997,0.1597623585569807,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,Flat Brook near Flatbrookville NJ,167.7204,02040104,41.106667,-74.952222,NJ,347.73,"c(1739362.7953, 2204340.9436)"
01440000,1998,0.25088482080162283,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,Flat Brook near Flatbrookville NJ,167.7204,02040104,41.106667,-74.952222,NJ,347.73,"c(1739362.7953, 2204340.9436)"
01440000,1999,0.28069135484286656,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,Flat Brook near Flatbrookville NJ,167.7204,02040104,41.106667,-74.952222,NJ,347.73,"c(1739362.7953, 2204340.9436)"
01440000,2000,0.2834508271096531,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,Flat Brook near Flatbrookville NJ,167.7204,02040104,41.106667,-74.952222,NJ,347.73,"c(1739362.7953, 2204340.9436)"
01440000,2001,0.17894993523150918,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,Flat Brook near Flatbrookville NJ,167.7204,02040104,41.106667,-74.952222,NJ,347.73,"c(1739362.7953, 2204340.9436)"
01440000,2002,0.2648606595741989,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,Flat Brook near Flatbrookville NJ,167.7204,02040104,41.106667,-74.952222,NJ,347.73,"c(1739362.7953, 2204340.9436)"
01440000,2003,0.3075115315672333,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,Flat Brook near Flatbrookville NJ,167.7204,02040104,41.106667,-74.952222,NJ,347.73,"c(1739362.7953, 2204340.9436)"
01440000,2004,0.28860243617005166,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,Flat Brook near Flatbrookville NJ,167.7204,02040104,41.106667,-74.952222,NJ,347.73,"c(1739362.7953, 2204340.9436)"
01440000,2005,0.3823400630974465,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,Flat Brook near Flatbrookville NJ,167.7204,02040104,41.106667,-74.952222,NJ,347.73,"c(1739362.7953, 2204340.9436)"
01440000,2006,0.27365845760851965,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,Flat Brook near Flatbrookville NJ,167.7204,02040104,41.106667,-74.952222,NJ,347.73,"c(1739362.7953, 2204340.9436)"
01440000,2007,0.354386904458937,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,Flat Brook near Flatbrookville NJ,167.7204,02040104,41.106667,-74.952222,NJ,347.73,"c(1739362.7953, 2204340.9436)"
01440000,2008,0.3431607918153667,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,Flat Brook near Flatbrookville NJ,167.7204,02040104,41.106667,-74.952222,NJ,347.73,"c(1739362.7953, 2204340.9436)"
01440000,2009,0.2510946121246641,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,Flat Brook near Flatbrookville NJ,167.7204,02040104,41.106667,-74.952222,NJ,347.73,"c(1739362.7953, 2204340.9436)"
01440000,2010,0.3442245425737505,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,Flat Brook near Flatbrookville NJ,167.7204,02040104,41.106667,-74.952222,NJ,347.73,"c(1739362.7953, 2204340.9436)"
01451800,1981,0.3413211422656625,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"Jordan Creek near Schnecksville, PA",135.8448,02040106,40.661762,-75.626854,PA,380.48,"c(1695082.452, 2143506.4684)"
01451800,1982,0.3708140784176666,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"Jordan Creek near Schnecksville, PA",135.8448,02040106,40.661762,-75.626854,PA,380.48,"c(1695082.452, 2143506.4684)"
01451800,1983,0.42563819180463597,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"Jordan Creek near Schnecksville, PA",135.8448,02040106,40.661762,-75.626854,PA,380.48,"c(1695082.452, 2143506.4684)"
01451800,1984,0.3899109123818954,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"Jordan Creek near Schnecksville, PA",135.8448,02040106,40.661762,-75.626854,PA,380.48,"c(1695082.452, 2143506.4684)"
